2024-08-12 01:35:56,877 INFO    MainThread:42551 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_setup.py:_flush():76] Configure stats pid to 42551
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_setup.py:_flush():76] Loading settings from /root/autodl-tmp/GREAD/src/wandb/settings
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'wxy-ucas', 'project': 'src', 'sweep_id': 'ceydghlb', 'root_dir': '/root/autodl-tmp/GREAD/src', 'run_id': 'frhi8dnu', 'sweep_param_path': '/root/autodl-tmp/GREAD/src/wandb/sweep-ceydghlb/config-frhi8dnu.yaml', 'mode': 'run'}
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run_GNN_sweep.py', 'program_abspath': '/root/autodl-tmp/GREAD/src/run_GNN_sweep.py', 'program': '/root/autodl-tmp/GREAD/src/run_GNN_sweep.py'}
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_init.py:_log_setup():529] Logging user logs to /root/autodl-tmp/GREAD/src/wandb/run-20240812_013556-frhi8dnu/logs/debug.log
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_init.py:_log_setup():530] Logging internal logs to /root/autodl-tmp/GREAD/src/wandb/run-20240812_013556-frhi8dnu/logs/debug-internal.log
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_init.py:init():569] calling init triggers
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_init.py:init():576] wandb.init called with sweep_config: {'XN_activation': False, 'alpha_dim': 'sc', 'beta_dim': 'vc', 'data_norm': 'gcn', 'dataset': 'Cora', 'epoch': 200, 'hidden_dim': 128, 'm2_mlp': False, 'method': 'rk4', 'reaction_term': 'aggdiff-gat', 'self_loop_weight': 1, 'step_size': 0.25, 'time': 2.45, 'use_mlp': False}
